district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
PALI,SOJAT,162888.24,13647.65,8.38,Pali,603.15,26.55328767123288,48.474657534246575,2.48,98.35780821917808,37.54
PRATAPGARH,ARNOD,63067.42,461.35,0.73,Pratapgarh,1245.05,24.828465753424656,58.525698630136986,2.52413698630137,95.91041095890412,57.24
PRATAPGARH,PIPALKHUNT,81289.37,1049.82,1.29,Pratapgarh,1245.05,24.828465753424656,58.525698630136986,2.52413698630137,95.91041095890412,57.24
PRATAPGARH,PRATAPGARH,127166.04,1995.26,1.57,Pratapgarh,1245.05,24.828465753424656,58.525698630136986,2.52413698630137,95.91041095890412,57.24
PRATAPGARH,DHARIYAWAD,86082.34,4945.56,5.75,Pratapgarh,1245.05,24.828465753424656,58.525698630136986,2.52413698630137,95.91041095890412,57.24
RAJ SAMAND,KHAMNOR,25563.37,109.2,0.43,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
RAJ SAMAND,BHIM,64070.36,58.91,0.09,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
RAJ SAMAND,NATHDWARA,50619.48,829.14,1.64,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
RAJ SAMAND,DEVGARH,56521.8,324.99,0.57,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
RAJ SAMAND,RAJ SAMAND,58700.55,1238.51,2.11,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
RAJ SAMAND,RELMAGRA,54565.34,3531.73,6.47,Rajsamand,965.51,24.10923287671233,54.17353424657534,2.3665205479452056,94.03090410958904,41.92
SAWAI MADHOPUR,MALARNADUNGAR,36249.28,3228.3,8.91,Sawai Madhopur,1386.8899999999999,25.261945205479453,57.624273972602744,1.9024383561643836,97.74405479452055,66.98
SAWAI MADHOPUR,BAUNLI,60301.58,1475.29,2.45,Sawai Madhopur,1386.8899999999999,25.261945205479453,57.624273972602744,1.9024383561643836,97.74405479452055,66.98
