district,sub_district,geographical_area_ha,flood_affected_area_ha,flood_affected_percent,weather_location,avg_annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
PALI,DESURI,80315.77,4296.06,5.35,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,SUMERPUR,93359.99,4888.25,5.24,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,RAIPUR,105782.62,2796.96,2.64,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,JAITARAN,132705.89,6809.72,5.13,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,ROHAT,132679.49,18460.07,13.91,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,BALI,135753.22,7097.72,5.23,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,MARWAR JUN,136256.45,14474.94,10.62,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,PALI,136638.31,12403.41,9.08,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PALI,SOJAT,162888.24,13647.65,8.38,Pali,374.85945945945946,26.819590054758027,38.60241453307681,2.51475284889744,98.35846307532928,112.76
PRATAPGARH,ARNOD,63067.42,461.35,0.73,Pratapgarh,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95
PRATAPGARH,PIPALKHUNT,81289.37,1049.82,1.29,Pratapgarh,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95
PRATAPGARH,PRATAPGARH,127166.04,1995.26,1.57,Pratapgarh,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95
PRATAPGARH,DHARIYAWAD,86082.34,4945.56,5.75,Pratapgarh,798.6110810810811,25.465990824330326,48.12437990232352,2.570048098268462,95.89152064525678,85.95
RAJ SAMAND,KHAMNOR,25563.37,109.2,0.43,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
RAJ SAMAND,BHIM,64070.36,58.91,0.09,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
RAJ SAMAND,NATHDWARA,50619.48,829.14,1.64,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
RAJ SAMAND,DEVGARH,56521.8,324.99,0.57,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
RAJ SAMAND,RAJ SAMAND,58700.55,1238.51,2.11,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
RAJ SAMAND,RELMAGRA,54565.34,3531.73,6.47,Rajsamand,555.5416216216216,24.48280301909131,43.585483202604706,2.3778148586650882,94.02157688323221,118.04
SAWAI MADHOPUR,MALARNADUNGAR,36249.28,3228.3,8.91,Sawai Madhopur,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36
SAWAI MADHOPUR,BAUNLI,60301.58,1475.29,2.45,Sawai Madhopur,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36
SAWAI MADHOPUR,SAWAI MADHOPUR,106144.06,5904.78,5.56,Sawai Madhopur,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36
SAWAI MADHOPUR,KHANDHAR,98945.44,11019.92,11.14,Sawai Madhopur,657.1018918918919,26.266208376498444,43.32932440432145,2.0382373834541956,97.72097010507622,120.36
SIROHI,ABU ROAD,84443.18,165.8,0.2,Sirohi,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0
SIROHI,SHEOGANJ,85044.15,3807.27,4.48,Sirohi,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0
SIROHI,SIROHI,112944.24,3583.59,3.17,Sirohi,544.7386486486487,25.8332847417493,42.15494154210448,2.3447817078585174,96.33695130975285,115.0
