district,year,annual_rainfall_mm,avg_temperature_c,avg_humidity_percent,avg_wind_speed_mps,avg_pressure_kpa,max_daily_rainfall_mm
DHAULPUR,1989,457.16,26.879397260273972,33.8805205479452,2.0514246575342465,98.69457534246574,50.21
DHAULPUR,1990,788.48,26.427205479452056,45.74339726027397,2.0683835616438357,98.68238356164383,92.75
DHAULPUR,1991,554.8,26.88871232876712,37.95041095890411,2.0873972602739723,98.70638356164385,79.58
DHAULPUR,1992,662.2,26.467185792349728,41.549207650273225,2.0548907103825136,98.76420765027322,41.11
DHAULPUR,1993,640.3,26.807424657534245,39.31117808219178,2.150219178082192,98.72736986301369,52.78
DHAULPUR,1994,709.49,26.63509589041096,40.751999999999995,1.9836164383561643,98.69616438356164,71.09
DHAULPUR,1995,894.71,26.31556164383562,43.98482191780822,2.0620821917808216,98.6981095890411,116.87
DHAULPUR,1996,955.15,25.813524590163933,47.04409836065574,1.9448360655737704,98.67396174863387,61.29
DHAULPUR,1997,669.87,26.110438356164384,43.72531506849315,2.0583287671232875,98.80208219178083,75.06
DHAULPUR,1998,730.02,26.25487671232877,46.550520547945204,1.9543835616438356,98.73649315068494,37.75
DHAULPUR,1999,628.28,26.995068493150686,39.04427397260274,2.031643835616438,98.62994520547946,63.53
DHAULPUR,2000,340.37,27.40136612021858,32.71325136612022,2.1581147540983605,98.59240437158469,33.75
DHAULPUR,2001,645.07,26.864246575342467,38.19260273972603,1.9114246575342464,98.66884931506848,55.56
DHAULPUR,2002,487.18,27.652356164383562,36.697315068493154,2.094164383561644,98.68268493150686,64.03
DHAULPUR,2003,581.11,26.524027397260276,44.1465205479452,1.8815342465753424,98.73712328767124,28.29
DHAULPUR,2004,591.11,27.04748633879781,42.93846994535519,2.1062841530054643,98.71571038251365,46.75
DHAULPUR,2005,554.58,26.526520547945207,42.241726027397256,2.0596164383561644,98.71652054794521,35.8
DHAULPUR,2006,492.03000000000003,27.507698630136986,40.45060273972602,2.1446849315068492,98.70172602739726,82.37
DHAULPUR,2007,493.36,27.039013698630136,40.902054794520545,2.1153424657534248,98.68868493150686,35.21
DHAULPUR,2008,882.49,25.818032786885244,49.00868852459016,1.8157103825136611,98.69196721311476,38.9
DHAULPUR,2009,571.95,27.32945205479452,43.13775342465754,2.049808219178082,98.68838356164385,61.6
DHAULPUR,2010,746.24,26.884520547945208,48.4346301369863,1.8728219178082193,98.68476712328767,80.77
DHAULPUR,2011,806.35,25.83876712328767,50.53101369863013,1.8287123287671234,98.67495890410959,54.13
DHAULPUR,2012,800.0,25.740601092896174,45.404098360655745,2.0598360655737706,98.6657650273224,73.62
DHAULPUR,2013,1027.38,25.243068493150684,53.13197260273972,1.9305205479452054,98.71616438356165,57.94
DHAULPUR,2014,703.43,26.200082191780822,46.17717808219177,1.9694794520547945,98.79117808219178,46.16
DHAULPUR,2015,703.58,26.27350684931507,45.57320547945206,1.8913698630136986,98.84246575342466,63.95
DHAULPUR,2016,749.96,27.053306010928964,42.88475409836065,1.7941256830601093,98.72494535519127,55.26
DHAULPUR,2017,511.71,27.29693150684931,40.01780821917808,1.9523835616438356,98.71676712328768,29.37
DHAULPUR,2018,870.6,26.468520547945207,46.193424657534244,1.9448767123287671,98.70224657534247,64.2
DHAULPUR,2019,763.4,26.014657534246577,51.9512602739726,1.877945205479452,98.79065753424656,40.26
DHAULPUR,2020,534.68,26.331120218579237,46.71770491803279,1.8558469945355192,98.77363387978143,23.49
DHAULPUR,2021,836.36,26.250931506849316,50.45449315068493,1.9799726027397262,98.71512328767122,55.91
DHAULPUR,2022,809.34,26.375479452054794,52.106328767123294,1.93572602739726,98.67073972602739,37.1
DUNGARPUR,1986,581.1,25.857808219178082,39.424,2.5751232876712327,96.78375342465753,54.66
DUNGARPUR,1987,370.97,27.009397260273975,36.20315068493151,2.5892602739726027,96.84205479452055,48.59
DUNGARPUR,1988,661.32,26.516803278688524,43.2268306010929,2.5104098360655738,96.7370218579235,32.65
DUNGARPUR,1989,551.56,26.164493150684933,38.81019178082192,2.5155342465753425,96.79504109589041,34.75
DUNGARPUR,1990,770.9,25.930328767123285,48.75353424657534,2.5303561643835617,96.77334246575343,59.27
DUNGARPUR,1991,522.38,26.368438356164383,38.708821917808216,2.4733150684931506,96.79923287671234,40.74
DUNGARPUR,1992,623.25,25.763497267759565,43.559699453551914,2.506065573770492,96.85316939890711,65.42
DUNGARPUR,1993,691.35,26.281342465753426,43.117561643835614,2.5389315068493152,96.83887671232877,84.45
DUNGARPUR,1994,1106.45,25.32315068493151,48.02835616438356,2.4693698630136987,96.79038356164384,114.71
DUNGARPUR,1995,383.86,26.527041095890414,39.95528767123288,2.5883561643835615,96.77635616438357,33.39
DUNGARPUR,1996,781.3,25.68131147540984,46.04672131147541,2.4730601092896176,96.75792349726777,47.03
DUNGARPUR,1997,1016.11,24.810739726027396,52.836164383561645,2.438767123287671,96.87972602739725,80.75
DUNGARPUR,1998,759.37,26.094383561643838,46.156739726027396,2.446109589041096,96.7866301369863,56.45
DUNGARPUR,1999,503.47,26.385945205479455,41.133534246575344,2.582465753424658,96.74290410958905,59.33
DUNGARPUR,2000,573.1899999999999,26.349153005464483,38.47715846994535,2.584262295081967,96.71486338797814,141.17
DUNGARPUR,2001,481.34999999999997,26.255068493150684,39.64454794520548,2.503972602739726,96.75898630136986,36.68
DUNGARPUR,2002,359.94,26.926986301369865,36.62978082191781,2.6581917808219178,96.80317808219179,32.45
DUNGARPUR,2003,560.32,26.06197260273973,45.07854794520547,2.6105479452054796,96.81093150684931,50.86
DUNGARPUR,2004,667.16,26.33827868852459,44.75822404371585,2.4193169398907104,96.81773224043717,133.37
DUNGARPUR,2005,720.16,25.540657534246577,45.348246575342465,2.3713972602739726,96.80717808219178,68.31
DUNGARPUR,2006,889.6899999999999,26.023452054794518,49.513643835616435,2.3503287671232878,96.79268493150686,46.73
DUNGARPUR,2007,666.19,26.261890410958905,45.7647397260274,2.3917808219178083,96.76241095890411,42.99
DUNGARPUR,2008,564.97,25.88341530054645,45.03002732240438,2.5140163934426227,96.76644808743168,53.05
DUNGARPUR,2009,622.37,26.633287671232875,45.25550684931506,2.415808219178082,96.78323287671232,44.56
DUNGARPUR,2010,961.5699999999999,26.240794520547944,51.65561643835616,2.3793150684931508,96.75101369863015,73.55
