date,location,latitude,longitude,rainfall_mm,temperature_c,humidity_percent,wind_speed_mps,pressure_kpa
2025-07-15,Ajmer,26.4499,74.6399,13.72,27.71,82.93,4.8,95.43
2025-07-16,Ajmer,26.4499,74.6399,1.86,28.43,80.29,3.09,95.72
2025-07-17,Ajmer,26.4499,74.6399,4.47,27.78,81.17,2.75,95.9
2025-07-18,Ajmer,26.4499,74.6399,45.83,27.57,86.78,3.84,95.71
2025-07-19,Ajmer,26.4499,74.6399,35.09,27.55,85.05,3.48,95.35
2025-07-20,Ajmer,26.4499,74.6399,3.19,27.42,82.01,3.1,95.54
2025-07-21,Ajmer,26.4499,74.6399,1.59,27.72,84.64,2.48,95.76
2025-07-22,Ajmer,26.4499,74.6399,1.15,28.56,82.19,3.07,95.74
2025-07-23,Ajmer,26.4499,74.6399,1.12,28.14,81.02,3.89,95.53
2025-07-24,Ajmer,26.4499,74.6399,0.05,28.06,80.62,3.39,95.46
2025-07-25,Ajmer,26.4499,74.6399,11.84,28.35,82.6,2.69,95.44
2025-07-26,Ajmer,26.4499,74.6399,22.27,28.11,88.33,2.62,95.42
2025-07-27,Ajmer,26.4499,74.6399,4.09,28.72,82.98,1.93,95.41
2025-07-28,Ajmer,26.4499,74.6399,5.83,28.15,85.05,3.05,95.44
2025-07-29,Ajmer,26.4499,74.6399,1.17,28.4,82.33,3.59,95.51
2025-07-30,Ajmer,26.4499,74.6399,1.02,26.81,84.53,3.5,95.58
2025-07-31,Ajmer,26.4499,74.6399,8.94,25.06,91.25,4.05,95.73
2025-08-01,Ajmer,26.4499,74.6399,1.47,26.93,82.95,3.74,95.85
2025-08-02,Ajmer,26.4499,74.6399,0.8,27.14,82.11,3.74,95.92
2025-08-03,Ajmer,26.4499,74.6399,0.1,27.45,80.62,3.3,96.04
2025-08-04,Ajmer,26.4499,74.6399,0.0,27.61,80.12,3.78,96.13
2025-08-05,Ajmer,26.4499,74.6399,0.0,26.3,83.97,3.49,96.13
2025-08-06,Ajmer,26.4499,74.6399,0.0,27.03,80.39,3.17,96.16
2025-08-07,Ajmer,26.4499,74.6399,0.0,27.26,79.66,3.27,96.12
2025-08-08,Ajmer,26.4499,74.6399,0.0,27.44,77.65,3.08,96.16
2025-08-09,Ajmer,26.4499,74.6399,0.49,27.48,78.02,2.51,96.33
2025-08-10,Ajmer,26.4499,74.6399,0.01,27.48,77.61,2.74,96.21
2025-08-11,Ajmer,26.4499,74.6399,0.0,27.29,77.05,3.36,96.15
2025-08-12,Ajmer,26.4499,74.6399,0.0,27.53,77.18,3.44,96.02
2025-08-13,Ajmer,26.4499,74.6399,0.01,26.93,81.92,2.51,95.93
2025-08-14,Ajmer,26.4499,74.6399,0.33,26.49,86.47,1.16,96.06
2025-08-15,Ajmer,26.4499,74.6399,1.83,28.61,81.16,1.06,95.93
2025-08-16,Ajmer,26.4499,74.6399,3.79,28.95,81.68,2.03,95.75
2025-08-17,Ajmer,26.4499,74.6399,0.46,29.15,80.95,2.86,95.81
2025-08-18,Ajmer,26.4499,74.6399,0.37,27.92,87.33,2.6,95.95
2025-08-19,Ajmer,26.4499,74.6399,0.03,28.58,80.6,2.62,95.85
2025-08-20,Ajmer,26.4499,74.6399,2.89,28.72,80.61,2.87,95.77
2025-08-21,Ajmer,26.4499,74.6399,11.23,27.6,86.22,1.33,95.84
2025-08-22,Ajmer,26.4499,74.6399,10.67,26.32,91.23,3.37,95.79
2025-08-23,Ajmer,26.4499,74.6399,30.24,26.92,86.89,2.63,95.76
2025-08-24,Ajmer,26.4499,74.6399,44.48,26.73,87.92,2.37,95.79
2025-08-25,Ajmer,26.4499,74.6399,6.87,26.9,86.11,2.95,95.71
2025-08-26,Ajmer,26.4499,74.6399,2.05,27.22,86.01,2.92,95.91
2025-08-27,Ajmer,26.4499,74.6399,5.51,27.85,83.86,1.84,95.98
2025-08-28,Ajmer,26.4499,74.6399,2.26,28.09,83.14,1.43,95.9
2025-08-29,Ajmer,26.4499,74.6399,12.21,27.98,85.54,0.9,95.92
2025-08-30,Ajmer,26.4499,74.6399,5.07,27.07,91.13,0.96,96.08
2025-08-31,Ajmer,26.4499,74.6399,46.52,26.47,92.41,2.35,95.9
2025-09-01,Ajmer,26.4499,74.6399,36.16,25.5,92.07,3.66,95.68
2025-09-02,Ajmer,26.4499,74.6399,1.39,26.65,87.37,2.94,95.79
2025-09-03,Ajmer,26.4499,74.6399,7.43,26.77,88.28,2.08,95.98
2025-09-04,Ajmer,26.4499,74.6399,21.5,26.46,88.4,1.62,96.03
2025-09-05,Ajmer,26.4499,74.6399,20.37,26.88,88.15,2.3,95.95
2025-09-06,Ajmer,26.4499,74.6399,31.24,26.56,92.18,2.17,95.83
2025-09-07,Ajmer,26.4499,74.6399,6.92,25.6,90.47,4.82,95.88
2025-09-08,Ajmer,26.4499,74.6399,0.08,25.73,86.98,3.32,96.15
2025-09-09,Ajmer,26.4499,74.6399,0.0,25.68,85.31,1.84,96.51
2025-09-10,Ajmer,26.4499,74.6399,0.0,25.14,85.13,2.54,96.52
2025-09-11,Ajmer,26.4499,74.6399,0.0,24.63,85.96,3.18,96.44
2025-09-12,Ajmer,26.4499,74.6399,0.0,25.24,84.9,2.41,96.52
2025-09-13,Ajmer,26.4499,74.6399,0.0,26.12,82.74,1.78,96.51
2025-09-14,Ajmer,26.4499,74.6399,0.01,26.59,82.02,1.89,96.45
2025-09-15,Ajmer,26.4499,74.6399,0.0,25.84,83.7,2.37,96.29
2025-09-16,Ajmer,26.4499,74.6399,0.0,26.41,84.47,1.97,96.25
2025-09-17,Ajmer,26.4499,74.6399,0.0,27.21,82.89,1.75,96.28
2025-09-18,Ajmer,26.4499,74.6399,0.04,26.98,82.19,1.69,96.31
2025-09-19,Ajmer,26.4499,74.6399,0.09,27.36,79.66,1.42,96.4
2025-09-20,Ajmer,26.4499,74.6399,0.4,27.27,80.63,1.53,96.38
2025-09-21,Ajmer,26.4499,74.6399,0.12,27.18,77.75,1.96,96.32
2025-09-22,Ajmer,26.4499,74.6399,0.0,26.85,79.18,1.9,96.37
2025-09-23,Ajmer,26.4499,74.6399,0.01,26.33,79.18,2.12,96.35
2025-09-24,Ajmer,26.4499,74.6399,0.0,25.94,80.86,2.46,96.24
2025-09-25,Ajmer,26.4499,74.6399,0.0,25.82,78.08,1.89,96.27
2025-09-26,Ajmer,26.4499,74.6399,0.0,26.79,71.28,1.53,96.37
2025-09-27,Ajmer,26.4499,74.6399,0.03,26.78,72.92,1.91,96.43
2025-09-28,Ajmer,26.4499,74.6399,0.02,27.26,83.6,2.99,96.24
2025-09-29,Ajmer,26.4499,74.6399,1.57,26.62,88.28,2.44,96.09
2025-09-30,Ajmer,26.4499,74.6399,4.7,26.23,88.44,1.08,96.0
2025-10-01,Ajmer,26.4499,74.6399,4.79,25.24,85.54,1.59,96.07
2025-10-02,Ajmer,26.4499,74.6399,0.73,26.5,80.39,0.74,96.33
2025-10-03,Ajmer,26.4499,74.6399,3.56,26.17,85.48,0.71,96.6
2025-10-04,Ajmer,26.4499,74.6399,2.69,26.46,83.34,1.71,96.57
2025-10-05,Ajmer,26.4499,74.6399,1.15,25.43,84.09,2.63,96.49
2025-10-06,Ajmer,26.4499,74.6399,13.93,24.69,86.17,3.25,96.52
2025-10-07,Ajmer,26.4499,74.6399,2.94,22.75,79.34,2.65,96.61
2025-10-08,Ajmer,26.4499,74.6399,0.57,22.29,74.14,1.17,96.86
2025-10-09,Ajmer,26.4499,74.6399,0.0,22.8,65.6,0.96,96.99
2025-10-10,Ajmer,26.4499,74.6399,0.0,22.87,60.45,0.98,96.85
2025-10-11,Ajmer,26.4499,74.6399,0.0,23.07,58.5,0.95,96.86
2025-10-12,Ajmer,26.4499,74.6399,0.0,23.54,56.71,1.07,96.81
2025-10-13,Ajmer,26.4499,74.6399,0.0,23.55,57.08,1.01,96.87
2025-10-14,Ajmer,26.4499,74.6399,0.0,22.52,64.3,1.25,96.75
2025-10-15,Ajmer,26.4499,74.6399,0.0,21.86,67.82,1.53,96.76
2025-10-16,Ajmer,26.4499,74.6399,0.0,23.39,59.42,1.11,96.78
2025-10-17,Ajmer,26.4499,74.6399,0.0,24.36,54.22,0.95,96.88
2025-10-18,Ajmer,26.4499,74.6399,0.0,23.61,53.22,0.93,96.81
2025-10-19,Ajmer,26.4499,74.6399,0.0,22.41,60.17,1.49,96.72
2025-10-20,Ajmer,26.4499,74.6399,0.0,22.54,66.47,1.72,96.74
2025-10-21,Ajmer,26.4499,74.6399,0.0,24.04,65.69,1.08,96.9
2025-10-22,Ajmer,26.4499,74.6399,0.0,25.18,54.18,0.99,96.97
2025-10-23,Ajmer,26.4499,74.6399,0.0,23.65,55.88,1.29,96.89
2025-10-24,Ajmer,26.4499,74.6399,0.0,23.49,52.47,1.18,96.85
2025-10-25,Ajmer,26.4499,74.6399,0.0,22.5,57.01,1.5,96.76
2025-10-26,Ajmer,26.4499,74.6399,0.0,22.23,74.02,2.24,96.81
2025-10-27,Ajmer,26.4499,74.6399,17.38,22.32,86.81,3.23,96.85
2025-10-28,Ajmer,26.4499,74.6399,3.18,20.23,87.92,3.4,96.89
2025-10-29,Ajmer,26.4499,74.6399,0.29,21.29,82.63,2.43,96.8
2025-10-30,Ajmer,26.4499,74.6399,1.48,21.71,88.37,2.67,96.76
